Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Savannah Campaign (1864)

"," GA025

"," November 22, 1864

","  Brig. Gen. Charles Walcutt was ordered to make a demonstration,
with the six infantry regiments and one battery that comprised his brigade,
toward Macon to ascertain the disposition of enemy troops in that direction.
He set out on the morning of November 22, and after a short march he ran
into some of Maj. Gen. Joseph Wheeler�s cavalry and drove them beyond Griswoldville.
Having accomplished his mission, Walcutt retired to a position at Duncans
Farm and fortified it with logs and rails to meet an expected Rebel attack
force composed of three brigades of Georgia State Militia. The Georgia
Militia had been ordered from Macon to Augusta, thinking the latter was
Shermans next objective, and accidentally collided with Walcutts force.
The Union force withstood three determined charges before receiving reinforcements
of one regiment of infantry and two regiments of cavalry. The Rebels did
not attack again and soon retired.
"," 712 total (US 62; CS 650)


"," 2nd Brigade, 1st Division, XV Corps, Army of the Tennessee
and two regiments of cavalry [US]; 1st Division Georgia Militia and Cavalry
Corps, Department of South Carolina, Georgia, and Florida [CS]


"," Jones County and Twiggs County

"," None


"," II.2 (Class B)

"," Brig. Gen. Charles C. Walcutt [US]; Brig. Gen.
Pleasant J. Philips and Maj. Gen. Joseph Wheeler [CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)


"," GA022

"," August 31�September 1, 1864

","  Sherman had successfully cut Hoods supply lines in the
past by sending out detachments, but the Confederates quickly repaired
the damage. In late August, Sherman determined that if he could cut Hoods
supply linesthe Macon & Western and the Atlanta & West Point Railroadsthe
Rebels would have to evacuate Atlanta. Sherman, therefore, decided to move
six of his seven infantry corps against the supply lines. The army began
pulling out of its positions on August 25 to hit the Macon & Western
Railroad between Rough and Ready and Jonesborough. To counter the move,
Hood sent Lt. Gen. William J. Hardee with two corps to halt and possibly
rout the Union troops, not realizing Shermans army was there in force.
On August 31, Hardee attacked two Union corps west of Jonesborough but
was easily repulsed. Fearing an attack on Atlanta, Hood withdrew one corps
from Hardees force that night. The next day, a Union corps broke through
Hardee s troops which retreated to Lovejoys Station, and on the night
of September 1, Hood evacuated Atlanta. Sherman did cut Hoods supply line
but failed to destroy Hardees command.


"," 3,149 total (US 1,149; CS 2,000)

"," Six corps [US]; two corps [CS]

"," Clayton County

"," None


"," IV.2 (Class A)

"," Maj. Gen. William T. Sherman [US]; Lt. Gen. William
J. Hardee [CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)

"," GA015

"," June 27, 1864

"," On the night of June 18-19, Gen. Joseph E. Johnston, fearing
envelopment, withdrew his army to a new, previously selected position astride
Kennesaw Mountain. This entrenched arc-shaped line, to the north and west
of Marietta, protected the Western & Atlantic Railroad, the supply
link to Atlanta. Having defeated General John B. Hood troops at Kolb�s
Farm on the 22nd, Sherman was sure that Johnston had stretched his line
too thin and, therefore, decided on a frontal attack with some diversions
on the flanks. On the morning of June 27, Sherman sent his troops forward
after an artillery bombardment. At first, they made some headway overrunning
Confederate pickets south of the Burnt Hickory Road, but attacking an enemy
that was dug in was futile. The fighting ended by noon, and Sherman suffered
high casualties.

"," 4,000 total (US 3,000; CS 1,000)

"," Military Division of the Mississippi [US]; Army of Tennessee
[CS]
"," Cobb County

"," None
"," I.3 (Class B)

"," Maj. Gen. William T. Sherman [US]; Gen. Joseph
E. Johnston [CS]


"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)


"," GA014

"," June 22, 1864

","  On the night of June 18-19, Gen. Joseph E. Johnston, fearing
envelopment, moved his army to a new, previously selected position astride
Kennesaw Mountain, an entrenched arc-shaped line to the west of Marietta,
to protect his supply line, the Western & Atlantic Railroad. Having
encountered entrenched Rebels astride Kennesaw Mountain stretching southward,
Sherman fixed them in front and extended his right wing to envelop their
flank and menace the railroad. Joe Johnston countered by moving John B.
Hoods corps from the left flank to the right on June 22. Arriving in his
new position at Mt. Zion Church, Hood decided, on his own, to attack. Warned
of Hoods intentions, Union generals John Schofield and Joseph Hooker entrenched.
Union artillery and swampy terrain thwarted Hoods attack and forced him
to withdraw with costly casualties. Although the victor, Shermans attempts
at envelopment had momentarily failed.



"," 1,350 total (US 350; CS 1,000)

"," Two corps [US]; Hood s Corps [CS]


"," Cobb County

"," None


"," II.3 (Class C)

"," Maj. Gen. John M. Schofield and Maj. Gen. Joseph
Hooker [US]; Lt. Gen. John B. Hood [CS]



"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)

"," GA021

"," August 20, 1864

"," While Confederate Maj. Gen. Joseph Wheeler was absent raiding
Union supply lines from North Georgia to East Tennessee, Maj. Gen. William
Sherman, unconcerned, sent Judson Kilpatrick to raid Rebel supply lines.
Leaving on August 18, Kilpatrick hit the Atlanta & West Point Railroad
that evening, tearing up a small area of tracks. Next, Kilpatrick headed
for Lovejoys Station on the Macon & Western Railroad. In transit,
on the 19th, Kilpatricks men hit the Jonesborough supply depot on the
Macon & Western Railroad, burning great amounts of supplies. On the
20th, they reached Lovejoys Station and began their destruction. Rebel
infantry (Cleburnes Division) appeared and the raiders were forced to
fight into the night, finally fleeing to prevent encirclement. Although
Kilpatrick had destroyed supplies and track at Lovejoys Station, the railroad
line was back in operation in two days.

"," Unknown

","  Kilpatricks Cavalry Division [US]; Jacksons Cavalry
Division [CS]

"," Clayton County

"," None

"," II.4 (Class D)
"," Brig. Gen. H. Judson Kilpatrick [US]; Brig. Gen.
William H. Jackson [CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)


",NA," June 9-July 3, 1864

","   During the Atlanta Campaign, Sherman maneuvered Johnston's  Confederate army out of several successive defensive positions in Cobb County. This strategy spared the Union army from making costly frontal attacks on the well-situated Confederates."," Unknown

"," Military Division of the Mississippi [US]; Army of Tennessee

[CS]

"," Cobb County

"," Marietta Operations

"," IV.1 (Class B)

"," Maj. Gen. William T. Sherman [US]; Gen. Joseph

E. Johnston [CS]



"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA," Brushy Mountain, Gilgal Church, Lost Mountain, Mcaffee's Cross Road, Mud Creek, Neal Dow Station, Noonday Creek, Pine Hill, Pine Mountain, Rottenwood Creek, Ruff's Mill

",NA
" Atlanta Campaign (1864)

"," GA010

"," May 25-26, 1864

"," After Johnston retreated to Allatoona Pass on May 19-20,
Sherman decided that he would most likely pay dearly for attacking Johnston
there, so he determined to move around Johnston�s left flank and steal
a march toward Dallas. Johnston anticipated Shermans move and met the
Union forces at New Hope Church. Sherman mistakenly surmised that Johnston
had a token force and ordered Maj. Gen. Joseph Hookers corps to attack.
This corps was severely mauled. On the 26th, both sides en-trenched, and
skirmishing continued throughout the day. Actions the next day in this
area are discussed under Picketts Mills.

"," Total unknown (US 1,600; CS unknown)

"," Military Division of the Mississippi [US]; Army of Tennessee
[CS]

"," Paulding County

"," None

"," II.3 (Class C)
"," Maj. Gen. William T. Sherman and Maj. Gen. Joseph
Hooker [US]; Gen. Joseph E. Johnston [CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)



"," GA016

"," July 20, 1864

","   Under Gen. Joseph E. Johnston, the Army of Tennessee had
retired south of Peachtree Creek, an east to west flowing stream, about
three miles north of Atlanta. Sherman split his army into three columns
for the assault on Atlanta with George H. Thomas�s Army of the Cumberland
moving from the north. Johnston had decided to attack Thomas, but Confederate
President Jefferson Davis relieved him of command and appointed John B.
Hood to take his place. Hood attacked Thomas after his army crossed Peachtree
Creek. The determined assault threatened to overrun the Union troops at
various locations. Ultimately, though, the Yankees held, and the Rebels
fell back.

"," 6,506 total (US 1,710; CS 4,796)

"," Army of the Cumberland [US]; Army of Tennessee [CS]


"," Fulton County

","  None

"," IV.2 (Class B)

"," Maj. Gen. George H. Thomas [US]; Gen. John B.
Hood [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)

"," GA012

"," May 27, 1864

"," After the Union defeat at New Hope Church, Maj. Gen. William
T. Sherman ordered Maj. Gen. O.O. Howard to attack Gen. Joseph E. Johnston
s seemingly exposed right flank. The Confederates were ready for the attack,
which did not unfold as planned because supporting troops never appeared.
The Rebels repulsed the attack causing high casualties.

"," 2,100 total (US 1,600; CS 500)

"," IV Corps [US]; Cleburnes Division and Brig. Gen. John
H. Kellys Brigade [CS]

"," Paulding County

"," New Hope, New Hope Church

"," III.3 (Class C)
"," Maj. Gen. Oliver Otis Howard [US]; Maj. Gen. Patrick
R. Cleburne [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)

"," GA008

"," May 13-15, 1864

","  Gen. Joseph E. Johnston had withdrawn from Rocky Face Ridge
to the hills around Resaca. On the 13th, the Union troops tested the Rebel
lines to pinpoint their whereabouts. The next day full scale fighting occurred,
and the Union troops were generally repulsed except on the Rebel right
flank where Sherman did not fully exploit his advantage. On the 15th, the
battle continued with no advantage to either side until Sherman sent a
force across the Oostanula River, at Lay�s Ferry, towards Johnstons railroad
supply line. Unable to halt this Union movement, Johnston was forced to
retire.


"," 5,547 total (US 2,747; CS 2,800)

"," Military Division of the Mississippi [US]; Army of Tennessee
[CS]

"," Gordon County and Whitfield County

"," None

"," II.3 (Class C)
","  Maj. Gen. William T. Sherman [US]; Gen. Joseph
E. Johnston [CS]


"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Chattanooga-Ringgold Campaign (1863)


"," GA005

"," November 27, 1863

"," Following the Union victory at Missionary Ridge and the
Rebel retreat, Yankee troops set out in pursuit. Maj. Gen. Patrick Cleburne�s
command fell back to Ringgold Gap where the Western & Atlantic Railroad
passed through Taylors Ridge. Maj. Gen. Joseph B. Hooker sent his force
forward to seize the ridge, which it failed to do after five hours of heavy
fighting.

"," 912 total (US 432; CS 480)


"," Three divisions [US]; one division [CS]
"," Catoosa County

"," None

"," I.3 (Class B)
","  Maj. Gen. Joseph Hooker [US]; Maj. Gen. Patrick
R. Cleburne [CS]


"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Atlanta Campaign (1864)


"," GA007

"," May 7-13, 1864

","  Gen. Joseph E. Johnston had entrenched his army on the
long, high mountain of Rocky Face Ridge and eastward across Crow Valley.
As Maj. Gen. William T. Sherman approached, he decided to demonstrate against
the position with two columns while he sent a third one through Snake Creek
Gap, to the right, to hit the Western & Atlantic Railroad at Resaca.
The two columns engaged the enemy at Buzzard Roost (Mill Creek Gap) and
at Dug Gap. In the meantime, the third column, under Maj. Gen. James Birdseye
McPherson, passed through Snake Creek Gap and on the 9th advanced to the
outskirts of Resaca where it found Confederates entrenched. Fearing defeat,
McPherson pulled his column back to Snake Creek Gap. On the 10th, Sherman
decided to take most of his men and join McPherson to take Resaca. The
next morning, Sherman� s army withdrew from in front of Rocky Face Ridge.
Discovering Shermans movement, Johnston retired south towards Resaca on
the 12th.


","  Unknown

"," Military Division of the Mississippi [US]; Army of Tennessee
[CS]


"," Whitfield County


"," Combats at Buzzard Roost, Mill Creek, Dug Gap



"," II.3 (Class C)

","Maj. Gen. William T. Sherman [US]; Gen. Joseph
E. Johnston [CS]



"," Union victory (Union casualties were high, but they did force
the Confederates off Rocky Face Ridge.)

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Atlanta Campaign (1864)

"," GA019

"," August 5-7, 1864

"," After failing to envelop Hood�s left flank at Ezra Church,
Sherman still wanted to extend his right flank to hit the railroad between
East Point and Atlanta. He transferred John M. Schofield s Army of the
Ohio from his left to his right flank and sent him to the north bank of
Utoy Creek. Although Schofields troops were at Utoy Creek on August 2,
they, along with the XIV Corps, Army of the Cumberland, did not cross until
the 4th. Schofields force began its movement to exploit this situation
on the morning of the 5th, which was initially successful. Schofield then
had to regroup his forces, which took the rest of the day. The delay allowed
the Rebels to strengthen their defenses with abatis, which slowed the Union
attack when it restarted on the morning of the 6th. The Federals were repulsed
with heavy losses by Bates Division and failed in an attempt to break
the railroad. On the 7th, the Union troops moved toward the Confederate
main line and entrenched. Here they remained until late August.

"," Unknown

"," Army of the Ohio [US]; Army of Tennessee [CS]

"," Fulton County

"," None

"," IV.1 (Class C)
"," Maj. Gen. John M. Schofield [US]; Gen. John B.
Hood [CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Savannah Campaign (1864)


"," GA027

"," December 4, 1864

","  As Sherman�s infantry marched southeast through Georgia,
his cavalry under Brig. Gen. Judson Kilpatrick rode northeastward. He set
out on the morning of December 4 to attack Waynesborough and destroy Joseph
Wheelers cavalry command. That morning Kilpatricks men advanced, driving
the Rebel skirmishers in front of them. The Union force then came up against
a defensive line of barricades which they eventually overran. As the Union
advance continued, they met more barricades which required time to overcome.
Finally, the Confederates fell back to a final line of barricades within
the town. After furious fighting, the Union troops broke through and Wheelers
force ran.


"," 440 total (US 190; CS 250)

"," 3rd Cavalry Division, Military Division of the Mississippi
[US]; Cavalry Command, Army of Tennessee [CS]

"," Burke County

"," None


"," IV.1 (Class C)

"," Brig. Gen. H. Judson Kilpatrick [US]; Maj. Gen.
Joseph Wheeler [CS]



"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Expedition from Camp Douglas, Utah Territory, to Cache Valley,

Idaho Territory (1863)


"," ID001

"," January 29, 1863

"," Shoshoni raids under Chief Bear Hunter during the winter

of 1862-63 provoked Federal retaliation. Troops under Col. Patrick E. Connor

set out from Ft. Douglas, Utah, in the deep snow of January 1863 towards

Chief Bear Hunter�s camp, 120 miles north near present-day Preston, Idaho.

The Native American camp included about 300 Shoshoni warriors defensively

placed in the Battle Creek ravine west of Bear River with high embankments

in which the Indians had cut access trails. Shortly after dawn on January

29, Connors troops appeared across the river and began crossing. Before

all of the men had crossed and Connor had arrived, some troops made an

unsuccessful frontal attack which the Indians easily repulsed inflicting

numerous casualties. When Connor took over, he sent troops to where the

ravine debouched through the bluffs. Some of these men covered the mouth

of the ravine to prevent any escape while others moved down the rims, firing

on the Indians below. This fire killed many of the warriors, but some attempted

to escape by swimming the icy river where other troops shot them. The battle

stopped by mid-morning. The troopers had killed most of the warriors plus

a number of women, children and old menand captured many of the women

and children.




"," 451 total (US 67; I 384)

"," District of Utah [US]; Shoshoni Indians [I]


"," Franklin County

"," Massacre at Boa Ogoi


"," III.3 (Class C)

"," Col. Patrick Edward Connor [US]; Chief Bear Hunter

[I]

"," Union victory (massacre)


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Morgan�s Raid in Kentucky, Indiana, Ohio (July 1863)

"," IN001

"," July 9, 1863

"," On July 2, 1863, Brig. Gen. Morgan, with about 2,450 hand-picked

cavalrymen, rode into Kentucky to disrupt the communications of the Union

Army of the Cumberland, which began its operations against Braggs Army

of Tennessee (Tullahoma Campaign) on June 23. Crossing the Cumberland River

at Burkesville, Morgans column advanced to the Green River where it was

deflected by a Union regiment at Tebbs Bend on July 4. Morgan surprised

and captured the garrison at Lebanon, Kentucky, then rode via Springfield,

Bardstown, and Garnettsville. On July 8, Morgan crossed the Ohio River

at Mauckport, Indiana, despite orders to remain south of the river in Kentucky.

Union military officials called out the militia in Indiana and Ohio and

worked feverishly to organize a defense. On July 9, near Corydon, Indiana,

elements of Morgans force encountered about 400 Home Guards and captured

most of them. As Morgan continued eastward to Ohio, destroying bridges,

railroads, and government stores, Federal columns converged to prevent

Morgan from recrossing into Kentucky.


"," 401 total (US 360; CS 41)


","  2,200 total (US 400; CS 1,800)

"," Harrison
"," None
"," III.3 (Class C)
"," BCol. Lewis Jordan [US]; Brig. Gen. John Hunt Morgan

[CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Occupation of Indian Territory North of the Arkansas River

(1863)

"," KS002

"," October 6, 1863

"," After conducting many raids in Kansas, including the massacre

at Lawrence, Quantrill decided to winter in Texas. Along with other partisans,

he headed south on the Texas Road and captured and killed two Union teamsters

who had come from a post called Baxter Springs. Quantrill decided to attack

the post and divided his force into two columns, one under him and the

other commanded by a subordinate, David Poole. Poole and his men proceeded

down the Texas Road, where they encountered Union soldiers, most of whom

were African Americans. They chased and attacked the Union troops, killing

some of them before they reached the earth and log fort. After the Union

survivors reached the fort, the Rebels attacked, but the garrison, with

the help of a howitzer, fought them off. Quantrills column moved on the

post from another direction and chanced on a Union detachment escorting

Maj. Gen. James G. Blunt and wagons transporting his personal items from

his former headquarters of the Department of the Frontier at Fort Scott

to his new one at Fort Smith. Most of this detachment, including the band

and Maj. Henry Z. Curtis (son of Maj. Gen. Samuel R. Curtis), was murdered,

but Blunt and a few mounted men returned to Fort Scott. Blunt was removed

from command for failing to protect his column, but he was soon restored.

Touted as a massacre by some, Baxter Springs was another of the events

that characterized the vicious Kansas-Missouri border warfare.




"," 106 total (US 103; CS 3)


"," Detachments from three regiments and an escort [US];

Quantrill�s Raiders (approx. 400) [CS]

"," Cherokee County

"," Baxter Springs Massacre

"," IV.2 (Class C)
"," Lt. James B. Pond and Maj. Gen. James G. Blunt

[US]; Lt. Col. William C. Quantrill [CS]


"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Quantrill�s Raid into Kansas (1863)

"," KS001

"," August 21, 1863

"," In a supposed retaliation for a Union raid on Osceola,

Missouri, Lt. Col. William C. Quantrill led a force of about 300 to 400

partisans in an attack on the city of Lawrence, Kansas. His men killed

civiliansmen and boysand destroyed many of the buildings. He held the

town several hours and then withdrew. The Lawrence Massacre was, perhaps,

the extreme example of the vicious Kansas-Missouri border warfare.


"," 204 total (US 164; CS 40)

"," No Union troops [US]; Quantrills Raiders and other

guerrillas [CS]


"," Douglas County

"," Lawrence Massacre

"," IV.2 (Class C)
","  No Union commander [US]; Lt. Col. William C. Quantrill

[CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Price�s Missouri Expedition (1864)


"," KS004

"," October 25, 1864

","   Maj. Gen. Sterling Price led an expedition into Missouri

which Union forces under Maj. Gen. Samuel R. Curtis and Maj. Gen. Alfred

Pleasonton finally countered around Kansas City, Missouri. Price withdrew

south, and Pleasonton, commanding in the field, pursued him into Kansas

and fought him at Marais des Cygnes. After an artillery bombardment that

began at 4:00 am, Pleasontons men attacked furiously. Although outnumbered,

they hit the Rebel line, forcing them to withdraw.


"," Unknown

"," Provisional cavalry division [US]; cavalry division

[CS]

"," Linn County

"," Battle of Osage, Battle of Trading Post


"," III.3 (Class C)

"," Maj. Gen. Alfred Pleasonton [US]; Maj. Gen. John

S. Marmaduke and Maj. Gen. James F. Fagan [CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Price�s Missouri Expedition (1864)


"," KS003

"," October 25, 1864

"," About six miles south of Trading Post, where the Marais

de Cygnes engagement had occurred, the brigades of Col. Frederick W. Benteen

and Col. John F. Phillips, of Maj. Gen. Alfred Pleasontons Provisional

Cavalry Division, overtook the Confederates as they were crossing Mine

Creek. These Rebels, stalled by their wagons crossing the ford, had formed

a line on the north side of Mine Creek. The Federals, although outnumbered,

commenced the attack as additional troops from Pleasontons command arrived

during the fight. They soon surrounded the Rebels, resulting in the capture

of about 600 men and two generals, Brig. Gen. John S. Marmaduke and Brig.

Gen. William L. Cabell. Having lost this many men, Prices army was doomed.

Retreat to friendly territory was the only recourse.



"," 1,300 total (US 100; CS 1,200)

"," Provisional cavalry division [US]; cavalry division

[CS]

"," Linn County

"," Battle of the Osage


"," III.3 (Class C)

"," Gen. Alfred Pleasonton [US]; Brig. Gen. John S.

Marmaduke and Maj. Gen. James F. Fagan [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Kentucky Confederate Offensive (1861)

"," KY001

"," September 19, 1861

"," Kentucky Union sympathizers had trained recruits at Camp

Andrew Johnson, in Barbourville, throughout the summer of 1861. Confederate

Brig. Gen. Felix Zollicoffer entered Kentucky in mid-September intending

to relieve pressure on Gen. Albert Sidney Johnston and his troops by conducting

raids and generally constituting a threat to Union forces and sympathizers

in the area. On September 18, 1861, he dispatched a force of about 800

men under command of Col. Joel A. Battle to disrupt the training activities

at Camp Andrew Johnson. At daylight on the 19th, the force entered Barbourville

and found the recruits gone; they had been sent to Camp Dick Robinson.

A small home guard force commanded by Capt. Isaac J. Black met the Rebels,

and a sharp skirmish ensued. After dispersing the home guard, the Confederates

destroyed the training camp and seized arms found there. This was, for

all practical purposes, the first encounter of the war in Kentucky. The

Confederates were making their might known in the state, countering the

early Union presence.



"," 20 total (US 15; CS 5)


"," Home Guard (approx. 300 men) [US]; detachment of approx.

800 men under command of Col. Joel A. Battle [CS]



","  Knox County

"," None
"," IV.2 (Class D)
"," Capt. Isaac J. Black [US]; Col. Joel A. Battle

[CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Kentucky Confederate Offensive (1861)

"," KY002

"," October 21, 1861


"," Brig. Gen. Felix Zollicoffers men occupied Cumberland

Gap and took position at Cumberland Ford to counter the Unionist activity

in the area. Brig. Gen. George H. Thomas sent a detachment under Col. T.T.

Garrard to secure the ford on the Rockcastle River, establish a camp at

Wildcat Mountain, and obstruct the Wilderness road passing through the

area. Col. Garrard informed Thomas that if he did not receive reinforcements,

he would have to retreat because he was outnumbered seven to one. Thomas

sent Brig. Gen. A. Schoepf with what amounted to a brigade of men to Col.

Garrard, bringing the total force to about 7,000. On the morning of October

21, soon after Schoepf arrived, some of his men moved forward and ran into

Rebel forces, commencing a fight. The Federals repelled the Confederate

attacks, in part due to fortifications, both man-made and natural. The

Confederates withdrew during the night and continued their retreat to Cumberland

Ford, which they reached on the 26th. A Union victory was welcomed, countering

the Confederate victory at Barbourville.



"," 78 total (US 25; CS 53)


"," Camp Wildcat Garrison and Schoepf�s Brigade (approx.

7,000 men) [US]; Zollicoffers Brigade [CS]

"," Laurel County

"," Wildcat Mountain

"," III.3 (Class C)
"," Brig. Gen. Albin F. Schoepf [US]; Brig. Gen. Felix

Zollicoffer [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Morgans Raid into Kentucky (1864)

"," KY011

"," June 11-12, 1864
"," Brig. Gen. Morgan approached Cynthiana with 1,200 men,

on June 11, 1864, at dawn. Col. Conrad Garis, with the 168th Regiment Ohio

Volunteer Infantry and some home guard troops, about 300 men altogether,

constituted the Union forces at Cynthiana. Morgan divided his men into

three columns, surrounded the town and launched an attack at the covered

bridge, driving the Union forces back towards the depot and north along

the railroad. The Rebels set fire to the town, destroying many buildings

and some of the Union troops. As the fighting flared in Cynthiana, another

Union force, about 750 men of the 171st Ohio National Guard under the command

of Brig. Gen. Edward Hobson, arrived by train about a mile north of the

Cynthiana at Kellars Bridge. Morgan trapped this new Union force in a

meander of the Licking River. After some fighting, Morgan forced Hobson

to surrender. Altogether, Morgan had about 1,300 Union prisoners of war

camping with him overnight in line of battle. Brig. Gen. Stephen Gano Burbridge

with 2,400 men, a combined force of Ohio, Kentucky, and Michigan mounted

infantry and cavalry, attacked Morgan at dawn on June 12. The Union forces

drove the Rebels back, causing them to flee into town where many were captured

or killed. Morgan escaped. Cynthiana demonstrated that Union numbers and

mobility were starting to take their toll; Confederate cavalry and partisans

could no longer raid with impunity.


"," 2,092 total (US 1,092; CS 1,000)


"," 168th Regiment Ohio Volunteer Infantry, 171st Ohio National

Guard, and the Kentucky Harrison County Home Guards [US]; Morgans Division

[CS]
"," Harrison County

"," Kellar�s Bridge

"," II.3 (Class C)
"," Brig. Gen. Stephen Gano Burbridge [US]; Brig.

Gen. John Hunt Morgan [CS]


"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Kentucky Confederate Offensive (1861)

"," KY003

"," November 8-9, 1861

"," While recruiting in southeast Kentucky, Rebels under Col.

John S. Williams ran short of ammunition at Prestonsburg and fell back

to Pikeville to replenish their supply. Brig. Gen. William Nelson sent

out a detachment from near Louisa under Col. Joshua Sill while he started

out from Prestonsburg with a larger force in an attempt to �turn or cut

the Rebels off. Williams prepared for evacuation, hoping for time to reach

Virginia, and sent out a cavalry force to meet Nelson about eight miles

from Pikeville. The Rebel cavalry escaped, and Nelson continued on his

way. Williams then met Nelson at a point northeast of Pikeville between

Ivy Mountain and Ivy Creek. Waiting by a narrow bend in the road, the Rebels

surprised the Yankees by firing upon their constricted ranks. A fight ensued,

but neither side gained the bulge. As the shooting ebbed, Williamss men

felled trees across the road and burned bridges to slow Nelsons pursuing

force. Night approached and rain began which, along with the obstructions,

convinced Nelsons men to go into camp. In the meantime, Williams retreated

into Virginia, stopping in Abingdon on the 9th. Sills force arrived too

late to be of use, but he did skirmish with the remnants of Williamss

retreating force before he occupied Pikeville on the 9th. This bedraggled

Confederate force retreated back into Virginia for succor. The Union forces

consolidated their power in eastern Kentucky mountains.


"," 293 total (US 30; CS 263)

"," Combination of detachments from twelve Union Ohio and

Kentucky units [US]; nine companies of infantry and two of mounted men

(1,010 men) [CS]

"," Floyd County

"," Ivy Creek, Ivy Narrows


"," IV.2 (Class D)
"," Brig. Gen. William Nelson and Col. Joshua W. Sill

[US]; Col. John S. Williams [CS]

"," Union victory (Indecisive, but Confederates withdrew.)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
